id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
download,Download,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
draw,Draw,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
dress,Dress,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
drink,Drink,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
drive,Drive,word,p1-u56,Getting There,p1-u56,Getting There,1,
duck,Duck,word,p1-u60,Animals,p1-u60,Animals,1,
e,E,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
eagle,Eagle,word,p1-u60,Animals,p1-u60,Animals,1,
ear,Ear,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
early,Early,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
earring,Earring,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
easter,Easter,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
eat,Eat,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
egg,Egg,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
eight,Eight,word,p1-u15,Numbers,p1-u15,Numbers,1,
elephant,Elephant,word,p1-u60,Animals,p1-u60,Animals,1,
eleven,Eleven,word,p1-u15,Numbers,p1-u15,Numbers,1,
email,Email,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
embarrass,Embarrass,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
emergency,Emergency,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
engineer,Engineer,word,p1-u59,Work Life,p1-u59,Work Life,1,
enough,Enough,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
excited,Excited,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
excuseme,Excuse Me,phrase,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,excuseme
exercise,Exercise,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
